ID;Active (0/1);Name;Default Category;Price tax excl.;Tax rules ID;On sale (0/1);Reference #;Show price;url_image;
"144";"1";"Par Mancuerna PVC 1 Kg";"2";"3352.941176";"53";"0";"MP01";"1";"https://pesaschile.cl/2/img/p/1/1/8/1/1181-thickbox_default.jpg";
"145";"1";"Par Mancuerna PVC 1,5 Kg";"2";"5873.949580";"53";"0";"MP015";"1";"https://pesaschile.cl/2/img/p/1/1/7/7/1177-thickbox_default.jpg";
"146";"1";"Par Mancuerna PVC 2 Kg";"2";"6714.285714";"53";"0";"MP02";"1";"https://pesaschile.cl/2/img/p/1/1/7/8/1178-thickbox_default.jpg";
"147";"1";"Par Mancuerna PVC 2,5 Kg";"35";"10075.630252";"53";"0";"MP025";"1";"https://pesaschile.cl/2/img/p/1/1/7/9/1179-thickbox_default.jpg";
"148";"1";"Par Mancuerna PVC 3 Kg";"2";"11756.302521";"53";"0";"MP03";"1";"https://pesaschile.cl/2/img/p/1/1/8/0/1180-thickbox_default.jpg";
"149";"1";"Step Aeróbico ";"35";"14277.310924";"53";"0";"FISA";"1";"https://pesaschile.cl/2/img/p/2/3/4/234-thickbox_default.jpg";
"149";"1";"Step Aeróbico ";"35";"14277.310924";"53";"0";"FISA";"1";"https://pesaschile.cl/2/img/p/9/0/2/902-thickbox_default.jpg";
"149";"1";"Step Aeróbico ";"35";"14277.310924";"53";"0";"FISA";"1";"https://pesaschile.cl/2/img/p/9/0/3/903-thickbox_default.jpg";
"151";"1";"Set Balones Medicinales 31KG";"10";"96638.655462";"53";"0";"PBMP";"1";"https://pesaschile.cl/2/img/p/1/7/2/5/1725-thickbox_default.jpg";
"152";"1";"Bumpers plate + Barra olímpica Elite HWM";"2";"336126.050420";"53";"0";"PBH100";"1";"https://pesaschile.cl/2/img/p/7/0/9/709-thickbox_default.jpg";
"153";"1";"Set Bumpers plate 150kg. (320 Lb)";"61";"277310.924370";"53";"0";"PB150";"1";"https://pesaschile.cl/2/img/p/5/6/2/562-thickbox_default.jpg";
"153";"1";"Set Bumpers plate 150kg. (320 Lb)";"61";"277310.924370";"53";"0";"PB150";"1";"https://pesaschile.cl/2/img/p/1/0/8/0/1080-thickbox_default.jpg";
"160";"1";"Pack Acero Olímpico 107.5";"46";"142848.739496";"53";"0";"PAB";"1";"https://pesaschile.cl/2/img/p/6/5/0/650-thickbox_default.jpg";
"161";"1";"Pack Olímpico Engomado con Barra";"46";"168058.823529";"53";"0";"PEB";"1";"https://pesaschile.cl/2/img/p/1/3/4/4/1344-thickbox_default.jpg";
"164";"1";"Balón Medicinal Sin Bote 7kg";"2";"26042.016807";"53";"0";"BSB07";"1";"https://pesaschile.cl/2/img/p/1/1/6/1/1161-thickbox_default.jpg";
"166";"1";"Balón Medicinal Sin Bote 10kg";"2";"28563.025210";"53";"0";"BSB10";"1";"https://pesaschile.cl/2/img/p/1/1/6/2/1162-thickbox_default.jpg";
"167";"1";"Balón Medicinal Sin Bote 9kg";"139";"27722.689076";"53";"0";"BSB09";"1";"https://pesaschile.cl/2/img/p/1/1/6/3/1163-thickbox_default.jpg";
"168";"1";"Pesos Muñeca Tobillo 2,5kg(2 unidades)";"2";"8394.957983";"53";"0";"PM2.5";"1";"https://pesaschile.cl/2/img/p/7/1/3/713-thickbox_default.jpg";
"168";"1";"Pesos Muñeca Tobillo 2,5kg(2 unidades)";"2";"8394.957983";"53";"0";"PM2.5";"1";"https://pesaschile.cl/2/img/p/7/1/4/714-thickbox_default.jpg";
"170";"1";"Mancuerna Barbell 21.8 kg";"21";"26042.016807";"53";"0";"";"1";"https://pesaschile.cl/2/img/p/1/4/5/1/1451-thickbox_default.jpg";
"171";"1";"Mancuerna Barbell  5.8 kg";"21";"8563.025210";"53";"0";"";"1";"https://pesaschile.cl/2/img/p/1/4/5/2/1452-thickbox_default.jpg";
"172";"1";"Mancuerna Barbell 7.8 kg";"21";"10747.899160";"53";"0";"";"1";"https://pesaschile.cl/2/img/p/1/4/5/3/1453-thickbox_default.jpg";
"173";"1";"Mancuerna Barbell 9.8 kg";"21";"12932.773109";"53";"0";"";"1";"https://pesaschile.cl/2/img/p/1/4/5/4/1454-thickbox_default.jpg";
"174";"1";"Mancuerna Barbell 11.8 kg";"21";"15117.647059";"53";"0";"";"1";"https://pesaschile.cl/2/img/p/1/4/5/5/1455-thickbox_default.jpg";
"175";"1";"Mancuerna Barbell 13.8 kg";"21";"17302.521008";"53";"0";"";"1";"https://pesaschile.cl/2/img/p/1/4/5/6/1456-thickbox_default.jpg";
"176";"1";"Mancuerna Barbell 15.8 kg";"21";"19487.394958";"53";"0";"";"1";"https://pesaschile.cl/2/img/p/1/4/5/9/1459-thickbox_default.jpg";
"177";"1";"Mancuerna Barbell 16.8 kg";"21";"21000.000000";"53";"0";"";"1";"https://pesaschile.cl/2/img/p/1/4/5/8/1458-thickbox_default.jpg";
"178";"1";"Mancuerna Mastodonte 4.3 kg";"21";"6294.117647";"53";"0";"";"1";"https://pesaschile.cl/2/img/p/2/6/8/268-thickbox_default.jpg";
"178";"1";"Mancuerna Mastodonte 4.3 kg";"21";"6294.117647";"53";"0";"";"1";"https://pesaschile.cl/2/img/p/4/9/1/491-thickbox_default.jpg";
"179";"1";"Mancuerna Mastodonte 6.8 kg";"21";"8394.957983";"53";"0";"";"1";"https://pesaschile.cl/2/img/p/2/6/9/269-thickbox_default.jpg";
"179";"1";"Mancuerna Mastodonte 6.8 kg";"21";"8394.957983";"53";"0";"";"1";"https://pesaschile.cl/2/img/p/4/9/2/492-thickbox_default.jpg";
"180";"1";"Mancuerna Mastodonte 9.3kg";"21";"10495.798319";"53";"0";"";"1";"https://pesaschile.cl/2/img/p/2/7/0/270-thickbox_default.jpg";
"180";"1";"Mancuerna Mastodonte 9.3kg";"21";"10495.798319";"53";"0";"";"1";"https://pesaschile.cl/2/img/p/4/9/3/493-thickbox_default.jpg";
"181";"1";"Mancuerna Mastodonte 11.8kg";"2";"12596.638656";"53";"0";"";"1";"https://pesaschile.cl/2/img/p/2/7/1/271-thickbox_default.jpg";
"181";"1";"Mancuerna Mastodonte 11.8kg";"2";"12596.638656";"53";"0";"";"1";"https://pesaschile.cl/2/img/p/4/9/4/494-thickbox_default.jpg";
"182";"1";"Mancuerna Mastodonte 14.3kg";"21";"14697.478992";"53";"0";"";"1";"https://pesaschile.cl/2/img/p/2/7/2/272-thickbox_default.jpg";
