ID;ID_LANG;Active (0/1);Name;Default Category;Price tax excl.;Tax rules ID;Wholesale price;On sale (0/1);Reference #;Quantity;Short description;Description;Meta-title;Meta-keywords;Meta-description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order;Product creation date;Show price;Available online only;Condition;url_image;
"61";"3";"1";"Push Up metalico";"2";"8394.957983";"53";"0.000000";"0";"PUM";"0";"Push up met&aacute;lico tiene mayor resistencia y durabilidad.";" Material: Acero. Goma antideslizante. Peso m&aacute;ximo de carga: 120 kg.
 ";"";"";"";"push-up-metalico";"";"";"1";"2014-03-26 00:59:39";"1";"0";"new";"http://pesaschile.cl/2/img/p/1/4/1/4/1414-thickbox_default.jpg";
"63";"1";"1";"Anillas olimpicas";"2";"16798.319328";"53";"0.000000";"0";"BSA1";"0";"";"";"";"";"";"anillas-olimpicas";"";"";"1";"2014-07-08 23:22:17";"1";"0";"new";"http://pesaschile.cl/2/img/p/1/3/1/131-thickbox_default.jpg";
"63";"1";"1";"Anillas olimpicas";"2";"16798.319328";"53";"0.000000";"0";"BSA1";"0";"";"";"";"";"";"anillas-olimpicas";"";"";"1";"2014-07-08 23:22:17";"1";"0";"new";"http://pesaschile.cl/2/img/p/7/2/9/729-thickbox_default.jpg";
"63";"1";"1";"Anillas olimpicas";"2";"16798.319328";"53";"0.000000";"0";"BSA1";"0";"";"";"";"";"";"anillas-olimpicas";"";"";"1";"2014-07-08 23:22:17";"1";"0";"new";"http://pesaschile.cl/2/img/p/7/3/0/730-thickbox_default.jpg";
"63";"3";"1";"Anillas olimpicas";"2";"16798.319328";"53";"0.000000";"0";"BSA1";"0";"Anillas ol&iacute;mpicas pl&aacute;sticas para entrenamiento funcional.";"Anillas ol&iacute;mpicas pl&aacute;sticas para entrenamiento funcional .


Strap de 2,4cm de ancho.
Peso m&aacute;ximo 180kg.
Anillas de pl&aacute;stico de alta resistencia.

";"";"";"";"anillas-olimpicas";"";"";"1";"2014-07-08 23:22:17";"1";"0";"new";"http://pesaschile.cl/2/img/p/1/3/1/131-thickbox_default.jpg";
"63";"3";"1";"Anillas olimpicas";"2";"16798.319328";"53";"0.000000";"0";"BSA1";"0";"Anillas ol&iacute;mpicas pl&aacute;sticas para entrenamiento funcional.";"Anillas ol&iacute;mpicas pl&aacute;sticas para entrenamiento funcional .


Strap de 2,4cm de ancho.
Peso m&aacute;ximo 180kg.
Anillas de pl&aacute;stico de alta resistencia.

";"";"";"";"anillas-olimpicas";"";"";"1";"2014-07-08 23:22:17";"1";"0";"new";"http://pesaschile.cl/2/img/p/7/2/9/729-thickbox_default.jpg";
"63";"3";"1";"Anillas olimpicas";"2";"16798.319328";"53";"0.000000";"0";"BSA1";"0";"Anillas ol&iacute;mpicas pl&aacute;sticas para entrenamiento funcional.";"Anillas ol&iacute;mpicas pl&aacute;sticas para entrenamiento funcional .


Strap de 2,4cm de ancho.
Peso m&aacute;ximo 180kg.
Anillas de pl&aacute;stico de alta resistencia.

";"";"";"";"anillas-olimpicas";"";"";"1";"2014-07-08 23:22:17";"1";"0";"new";"http://pesaschile.cl/2/img/p/7/3/0/730-thickbox_default.jpg";
"65";"1";"1";"TRX Home kit";"2";"25201.680672";"53";"0.000000";"0";"BSA";"0";"";"";"";"";"";"trx-home-kit";"";"";"1";"2014-07-08 23:30:19";"1";"0";"new";"http://pesaschile.cl/2/img/p/7/4/4/744-thickbox_default.jpg";
"65";"1";"1";"TRX Home kit";"2";"25201.680672";"53";"0.000000";"0";"BSA";"0";"";"";"";"";"";"trx-home-kit";"";"";"1";"2014-07-08 23:30:19";"1";"0";"new";"http://pesaschile.cl/2/img/p/7/4/5/745-thickbox_default.jpg";
"65";"1";"1";"TRX Home kit";"2";"25201.680672";"53";"0.000000";"0";"BSA";"0";"";"";"";"";"";"trx-home-kit";"";"";"1";"2014-07-08 23:30:19";"1";"0";"new";"http://pesaschile.cl/2/img/p/7/4/6/746-thickbox_default.jpg";
