"ID";"Active (0/1)";"Name";"Default Category";"Tax rules ID";"Reference #";"url_image"
"168";"1";"Pesos Muñeca Tobillo 2,5kg(2 unidades)";"2";"1";"PM2.5";"https://pesaschile.cl/2/img/p/7/1/4/714-thickbox_default.jpg"
"170";"1";"Mancuerna Barbell 21.8 kg";"21";"1";"";"https://pesaschile.cl/2/img/p/1/4/5/1/1451-thickbox_default.jpg"
"171";"1";"Mancuerna Barbell 5.8 kg";"21";"1";"";"https://pesaschile.cl/2/img/p/1/4/5/2/1452-thickbox_default.jpg"
"172";"1";"Mancuerna Barbell 7.8 kg";"21";"1";"";"https://pesaschile.cl/2/img/p/1/4/5/3/1453-thickbox_default.jpg"
"173";"1";"Mancuerna Barbell 9.8 kg";"21";"1";"";"https://pesaschile.cl/2/img/p/1/4/5/4/1454-thickbox_default.jpg"
"174";"1";"Mancuerna Barbell 11.8 kg";"21";"1";"";"https://pesaschile.cl/2/img/p/1/4/5/5/1455-thickbox_default.jpg"
"175";"1";"Mancuerna Barbell 13.8 kg";"21";"1";"";"https://pesaschile.cl/2/img/p/1/4/5/6/1456-thickbox_default.jpg"
"176";"1";"Mancuerna Barbell 15.8 kg";"21";"1";"";"https://pesaschile.cl/2/img/p/1/4/5/9/1459-thickbox_default.jpg"
"177";"1";"Mancuerna Barbell 16.8 kg";"21";"1";"";"https://pesaschile.cl/2/img/p/1/4/5/8/1458-thickbox_default.jpg"
"178";"1";"Mancuerna Mastodonte 4.3 kg";"21";"1";"";"https://pesaschile.cl/2/img/p/2/6/8/268-thickbox_default.jpg"
"178";"1";"Mancuerna Mastodonte 4.3 kg";"21";"1";"";"https://pesaschile.cl/2/img/p/4/9/1/491-thickbox_default.jpg"
"179";"1";"Mancuerna Mastodonte 6.8 kg";"21";"1";"";"https://pesaschile.cl/2/img/p/2/6/9/269-thickbox_default.jpg"
"179";"1";"Mancuerna Mastodonte 6.8 kg";"21";"1";"";"https://pesaschile.cl/2/img/p/4/9/2/492-thickbox_default.jpg"
"180";"1";"Mancuerna Mastodonte 9.3kg";"21";"1";"";"https://pesaschile.cl/2/img/p/2/7/0/270-thickbox_default.jpg"
"180";"1";"Mancuerna Mastodonte 9.3kg";"21";"1";"";"https://pesaschile.cl/2/img/p/4/9/3/493-thickbox_default.jpg"
"181";"1";"Mancuerna Mastodonte 11.8kg";"2";"1";"";"https://pesaschile.cl/2/img/p/2/7/1/271-thickbox_default.jpg"
"181";"1";"Mancuerna Mastodonte 11.8kg";"2";"1";"";"https://pesaschile.cl/2/img/p/4/9/4/494-thickbox_default.jpg"
"182";"1";"Mancuerna Mastodonte 14.3kg";"21";"1";"";"https://pesaschile.cl/2/img/p/2/7/2/272-thickbox_default.jpg"
"182";"1";"Mancuerna Mastodonte 14.3kg";"21";"1";"";"https://pesaschile.cl/2/img/p/4/9/5/495-thickbox_default.jpg"
"183";"1";"Mancuerna Mastodonte 16.8 kg";"21";"1";"";"https://pesaschile.cl/2/img/p/2/7/3/273-thickbox_default.jpg"
"183";"1";"Mancuerna Mastodonte 16.8 kg";"21";"1";"";"https://pesaschile.cl/2/img/p/4/9/6/496-thickbox_default.jpg"
"184";"1";"Mancuerna Mastodonte 21.8 kg";"21";"1";"";"https://pesaschile.cl/2/img/p/2/7/4/274-thickbox_default.jpg"
"184";"1";"Mancuerna Mastodonte 21.8 kg";"21";"1";"";"https://pesaschile.cl/2/img/p/4/9/7/497-thickbox_default.jpg"
"185";"0";"Kettlebell HWM 8kg";"15";"1";"KP08";"https://pesaschile.cl/2/img/p/3/5/9/359-thickbox_default.jpg"
"186";"0";"Kettlebell HWM 12kg";"15";"1";"KP12";"https://pesaschile.cl/2/img/p/3/6/0/360-thickbox_default.jpg"
"187";"0";"Kettlebell HWM 24kg";"2";"1";"KP24";"https://pesaschile.cl/2/img/p/3/7/3/373-thickbox_default.jpg"
"188";"0";"Kettlebell HWM 16kg";"15";"1";"KP16";"https://pesaschile.cl/2/img/p/3/6/2/362-thickbox_default.jpg"
"190";"1";"Par Mancuerna Hexagonal HWM 5kg";"2";"1";"MH05";"https://pesaschile.cl/2/img/p/1/1/4/5/1145-thickbox_default.jpg"
"191";"1";"Par Mancuerna Hexagonal HWM 10kg";"2";"1";"MH10";"https://pesaschile.cl/2/img/p/1/1/4/6/1146-thickbox_default.jpg"
"192";"1";"Par Mancuerna Hexagonal HWM 15kg";"2";"1";"MH15";"https://pesaschile.cl/2/img/p/1/1/4/7/1147-thickbox_default.jpg"
"193";"1";"Par Mancuerna Hexagonal HWM 20kg";"2";"1";"MH20";"https://pesaschile.cl/2/img/p/1/1/4/8/1148-thickbox_default.jpg"
"194";"1";"Par Mancuerna Hexagonal HWM 25kg";"2";"1";"MH25";"https://pesaschile.cl/2/img/p/1/1/4/9/1149-thickbox_default.jpg"
"195";"1";"Par Mancuerna Hexagonal HWM 30kg";"2";"1";"MH30";"https://pesaschile.cl/2/img/p/1/3/2/3/1323-thickbox_default.jpg"
"196";"1";"Par Bumper Plate 20kg";"18";"1";"DOB20";"https://pesaschile.cl/2/img/p/1/0/7/5/1075-thickbox_default.jpg"
"196";"1";"Par Bumper Plate 20kg";"18";"1";"DOB20";"https://pesaschile.cl/2/img/p/1/0/7/6/1076-thickbox_default.jpg"
"197";"1";"Par Bumper Plate 25kg";"18";"1";"DOB25";"https://pesaschile.cl/2/img/p/1/0/7/7/1077-thickbox_default.jpg"
"197";"1";"Par Bumper Plate 25kg";"18";"1";"DOB25";"https://pesaschile.cl/2/img/p/1/0/7/8/1078-thickbox_default.jpg"
"198";"1";"Par Bumper Plate 15kg";"18";"1";"DOB15";"https://pesaschile.cl/2/img/p/1/0/7/3/1073-thickbox_default.jpg"
"198";"1";"Par Bumper Plate 15kg";"18";"1";"DOB15";"https://pesaschile.cl/2/img/p/1/0/7/4/1074-thickbox_default.jpg"
"199";"1";"Par Bumper Plate 5kg";"18";"1";"DOB05";"https://pesaschile.cl/2/img/p/1/0/6/9/1069-thickbox_default.jpg"
"199";"1";"Par Bumper Plate 5kg";"18";"1";"DOB05";"https://pesaschile.cl/2/img/p/1/0/7/0/1070-thickbox_default.jpg"
"200";"1";"Par Bumper Plate 10kg";"18";"1";"DOB10";"https://pesaschile.cl/2/img/p/1/0/7/1/1071-thickbox_default.jpg"
"200";"1";"Par Bumper Plate 10kg";"18";"1";"DOB10";"https://pesaschile.cl/2/img/p/1/0/7/2/1072-thickbox_default.jpg"
"202";"1";"Ab Mat";"33";"1";"FIAM";"https://pesaschile.cl/2/img/p/1/1/1/9/1119-thickbox_default.jpg"
"203";"1";"Set de Tubos de Expansión";"35";"1";"SET";"https://pesaschile.cl/2/img/p/1/1/4/2/1142-thickbox_default.jpg"
"205";"1";"Colchoneta de alto trafico";"2";"1";"FICL";"https://pesaschile.cl/2/img/p/1/7/8/5/1785-thickbox_default.jpg"
"206";"1";"Rueda Abdominal";"2";"1";"FIRA";"https://pesaschile.cl/2/img/p/1/3/5/4/1354-thickbox_default.jpg"
"210";"1";"Kettlebell Acero 24Kg";"2";"1";"KA24";"https://pesaschile.cl/2/img/p/3/1/6/316-thickbox_default.jpg"
"211";"1";"Kettlebell Acero 28Kg";"2";"1";"KA28";"https://pesaschile.cl/2/img/p/3/1/7/317-thickbox_default.jpg"
"212";"1";"Barra W Olímpica";"26";"1";"BOW";"https://pesaschile.cl/2/img/p/3/1/9/319-thickbox_default.jpg"
"213";"1";"Barra Romana Olímpica";"26";"1";"BORO";"https://pesaschile.cl/2/img/p/3/2/0/320-thickbox_default.jpg"
"221";"1";"Discos Barbell 1 kg X 2UN";"2";"1";"DPB01";"https://pesaschile.cl/2/img/p/1/0/4/2/1042-thickbox_default.jpg"
"225";"1";"Mancuerna Barbell 26.8 kg";"21";"1";"";"https://pesaschile.cl/2/img/p/1/4/5/7/1457-thickbox_default.jpg"
"226";"1";"Pack Iniciación Mastodonte";"46";"1";"PMI";"https://pesaschile.cl/2/img/p/4/0/3/403-thickbox_default.jpg"
"229";"1";"Barra Monster HWM 20KG";"26";"1";"BOMH";"https://pesaschile.cl/2/img/p/1/5/5/0/1550-thickbox_default.jpg"
"229";"1";"Barra Monster HWM 20KG";"26";"1";"BOMH";"https://pesaschile.cl/2/img/p/1/5/5/1/1551-thickbox_default.jpg"
"229";"1";"Barra Monster HWM 20KG";"26";"1";"BOMH";"https://pesaschile.cl/2/img/p/1/5/5/2/1552-thickbox_default.jpg"
