"Product ID";"Imagen";"Nombre";"Referencia";"CategorÃ­a";"Precio (imp. incl.)";"Cantidad";"Estado";"Iva"
"543";"https://pesaschile.cl/clon/2/img/p/1/3/9/9/1399.jpg";"PAR PESO MUÃ‘/TOB 2 KG PROMACHINE";"PM02P";"Productos";"8990";"18";"0";"1"
"542";"https://pesaschile.cl/clon/2/img/p/1/3/9/5/1395.jpg";"PAR RODILLERA FULL FIT L";"FIRFL";"Peso libre";"9990";"37";"0";"1"
"541";"https://pesaschile.cl/clon/2/img/p/1/3/9/4/1394.jpg";"PAR RODILLERA FULL FIT M";"FIRFM";"Indumentaria";"9990";"35";"0";"1"
"540";"https://pesaschile.cl/clon/2/img/p/1/3/9/3/1393.jpg";"PAR RODILLERA FULL FIT S";"FIRFS";"Indumentaria";"9990";"31";"0";"1"
"539";"https://pesaschile.cl/clon/2/img/p/1/3/8/3/1383.jpg";"SET PISO GOMA EVA  64X64";"PDE";"Equipamiento";"11960";"0";"1";"1"
"538";"https://pesaschile.cl/clon/2/img/p/1/3/7/7/1377.jpg";"HIP THRUST PROMACHINE";"MHT";"Equipamiento";"159990";"15";"0";"1"
"537";"https://pesaschile.cl/clon/2/img/p/1/3/8/0/1380.jpg";"MÃSCARA DE ENTRENAMIENTO";"ME";"Accesorios";"24990";"29";"0";"1"
"536";"https://pesaschile.cl/clon/2/img/p/1/3/7/3/1373.jpg";"BARRA LOG";"BL";"Productos";"119990";"9";"0";"1"
"535";"https://pesaschile.cl/clon/2/img/p/1/3/7/5/1375.jpg";"BARRA MULTIAGARRE";"BMA";"Barras";"99990";"50";"0";"1"
"534";"https://pesaschile.cl/clon/2/img/p/1/3/8/5/1385.jpg";"CINTURÃ“N LUMBAR PROMACHINE ROSADO";"CLPSR";"Accesorios";"12990";"19";"0";"1"
"533";"https://pesaschile.cl/clon/2/img/p/1/3/8/7/1387.jpg";"CINTURON LUMBAR PROMACHINE L";"CLPL";"Accesorios";"12990";"9";"0";"1"
"532";"https://pesaschile.cl/clon/2/img/p/1/3/8/9/1389.jpg";"CINTURON LUMBAR PROMACHINE M";"CLPM";"Accesorios";"12990";"0";"1";"1"
"531";"https://pesaschile.cl/clon/2/img/p/1/3/9/1/1391.jpg";"CINTURON LUMBAR PROMACHINE S";"CLPS";"Accesorios";"12990";"0";"1";"1"
"530";"https://pesaschile.cl/clon/2/img/p/1/4/5/0/1450.jpg";"Discos Barbell 3 kg X 2UN ";"DPB03";"Productos";"7800";"10";"0";"1"
"529";"https://pesaschile.cl/clon/2/img/p/.jpg";"prueba";"";"Productos";"500";"49";"0";"1"
"528";"https://pesaschile.cl/clon/2/img/p/1/3/6/3/1363.jpg";"Tenazas Preolimpicas";"TPP";"Accesorios";"1990";"5";"0";"1"
"527";"https://pesaschile.cl/clon/2/img/p/1/3/6/4/1364.jpg";"Tenazas OlÃ­mpicas";"TPO";"Accesorios";"2990";"93";"0";"1"
